Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"Laboratory of Atmospheric Chemistry (LAC), Paul Scherrer Institute (PSI), CH-5232 Villigen PSI, Switzerland",,10.1515/zpch-2015-0607,http://dx.doi.org/10.1515/zpch-2015-0607,The Kinetics of the Reaction CH + HI → CH + I over an Extended Temperature Range (213–623 K): Experiment and Modeling,Nicholas Leplat /// Jozef Federič /// Katarína Šulková /// Mária Sudolská /// Florent Louis /// Ivan Černušák /// Michel Jean Rossi,2015,Zeitschrift für Physikalische Chemie,"aff1 /// 1 ///  /// Laboratory of Atmospheric Chemistry (LAC), Paul Scherrer Institute (PSI), CH-5232 Villigen PSI, Switzerland ///  /// aff2 /// 2 ///  /// Department of Physical and Theoretical Chemistry, Faculty of Natural Sciences, Comenius University, Mlynskádolina CH1, 84215, Bratislava, Slovakia ///  /// aff3 /// 3 ///  /// Advanced Technologies Research Institute, Faculty of Materials Science and Technology, Slovak University of Technology in Bratislava, Hajdóczyho 1, 917 24 Trnava, Slovakia ///  /// aff4 /// 4 ///  /// PhysicoChimie des Processus de Combustion et de l'Atmosphère (PC2A), UMR 8522 CNRS/Lille1, Université Lille 1 Sciences et Technologies, Cité Scientifique, Bât. C11/C5, 59655 Villeneuve d'Ascq Cedex, France ///  /// aff5 /// 5 ///  /// Present address: Melbourne School of Engineering, Mechanical Engineering, Engineering Block E Bldg., The University of Melbourne, Parkville 3010 VIC, Australia ///  /// aff6 /// 6 ///  /// Regional Centre of Advanced Technologies and Materials, Department of Physical Chemistry, Faculty of Science, Palacký University Olomouc, 17, listopadu 12, 771 46 Olomouc, Czech Republic /// "
"Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik Innenstadt, Klinikum der Ludwig-Maximilians-Universität München, D-80336 München, Germany and Present address: Novartis Pharma AG, Werk Klybeck, CH-4002 Basel, Switzerland.",University of Basel,10.1515/BC.2006.044,http://dx.doi.org/10.1515/BC.2006.044,Identification of calpain cleavage sites in the G1 cyclin-dependent kinase inhibitor p19,Joma Joy /// Narasimharao Nalabothula /// Madhumita Ghosh /// Oliver Popp /// Marianne Jochum /// Werner Machleidt /// Shirley Gil-Parrado /// Tad A. Holak,2006,Biological Chemistry,"a1 /// 1.  ///  /// Max-Planck-Institut für Biochemie, D-82152 Martinsried, Germany /// a2 /// 2.  ///  /// Max-Planck-Institut für Biochemie, D-82152 Martinsried, Germany /// a3 /// 3.  ///  /// Max-Planck-Institut für Biochemie, D-82152 Martinsried, Germany /// a4 /// 4.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik Innenstadt, Klinikum der Ludwig-Maximilians-Universität München, D-80336 München, Germany /// a5 /// 5.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik Innenstadt, Klinikum der Ludwig-Maximilians-Universität München, D-80336 München, Germany /// a6 /// 6.  ///  /// Adolf-Butenandt-Institut der Ludwig-Maximilians-Universität München, D-80336 München, Germany /// a7 /// 7.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik Innenstadt, Klinikum der Ludwig-Maximilians-Universität München, D-80336 München, Germany and Present address: Novartis Pharma AG, Werk Klybeck, CH-4002 Basel, Switzerland. /// a8 /// 8.  ///  /// Max-Planck-Institut für Biochemie, D-82152 Martinsried, Germany"
"Department of Reproductive Health and Research, World Health Organization, Geneva, Switzerland",,10.1515/jpm-2012-0145,http://dx.doi.org/10.1515/jpm-2012-0145,Preterm Birth Genome Project (PGP) – validation of resources for preterm birth genome-wide studies,Craig E. Pennell /// Felipe Vadillo-Ortega ///  David M. Olson /// Eun-Hee Ha /// Scott Williams /// Tim M. Frayling /// Siobhan Dolan /// Michael Katz /// Mario Merialdi ///   /// Ramkumar Menon,2013,Journal of Perinatal Medicine,"aff1 /// 1 ///  /// School of Women’s and Infants’ Health, The University of Western Australia, Perth, Australia /// aff2 /// 2 ///  /// School of Medicine, Universidad Nacional Autonoma de Mexico, Mexico /// aff3 /// 3 ///  /// Department of Obstetrics and Gynecology, University of Alberta, Canada /// aff4 /// 4 ///  /// Ewha Women’s University Medical School, Department of Preventive Medicine, Seoul, Korea /// aff5 /// 5 ///  /// Center for Human Genetics Research, Division of Human Genomics, Department of Molecular Physiology and Biophysics, Vanderbilt University, Nashville, TN, USA /// aff6 /// 6 ///  /// Genetics of Complex Traits, Peninsula Medical School, St. Luke’s Campus, Exeter, UK /// aff7 /// 7 ///  /// Department of Obstetrics and Gynecology, Albert Einstein College of Medicine, NY, USA /// aff8 /// 8 ///  /// Research and Global Programs, March of Dimes Foundation, White Plains, NY, USA /// aff9 /// 9 ///  /// Department of Reproductive Health and Research, World Health Organization, Geneva, Switzerland /// aff10 /// 10 ///  /// Complete list of collaborators at the end of the article /// aff11 /// 11 ///  /// Department of Obstetrics Gynecology, The University of Texas Medical Branch, Galveston, TX, USA"
"Department of Obstetrics and Gynecology, Inselspital Bern, University Hospital/Inselspital Bern, 3010 Bern, Switzerland",University of Bern,10.1515/JPM.2008.093,http://dx.doi.org/10.1515/JPM.2008.093,Diagnosis and treatment of peripartum bleeding,Wolfgang Henrich /// Daniel Surbek /// Franz Kainer /// Oliver Grottke /// Hartmut Hopp /// Holger Kiesewetter /// Jürgen Koscielny /// Holger Maul /// Dietmar Schlembach /// Georg-Friedrich von Tempelhoff /// Werner Rath,2008,Journal of Perinatal Medicine,"a1 /// 1 ///  /// Department of Obstetrics, Charité – University Medicine Berlin, 13353 Berlin, Germany  /// a2 /// 2 ///  /// Department of Obstetrics and Gynecology, Inselspital Bern, University Hospital/Inselspital Bern, 3010 Bern, Switzerland /// a3 /// 3 ///  /// Clinic and Policlinic of Gynecology and Obstetrics, Klinikum Innenstadt, 80337 München, Germany /// a4 /// 4 ///  /// Department of Anesthesiology, Aachen University Hospital, 52074 Aachen, Germany /// a5 /// 5 ///  /// Clinic of Obstetrics, Charité Campus Benjamin Franklin, 12200 Berlin, Germany /// a6 /// 6 ///  /// Institute for Transfusion Medicine, Charité – Campus Charité Mitte, 10117 Berlin, Germany /// a7 /// 7 ///  /// Institute for Transfusion Medicine, Charité – Campus Charité Mitte, 10117 Berlin, Germany /// a8 /// 8 ///  /// Clinic of Gynecology, Heidelberg University Hospital, 69115 Heidelberg, Germany /// a9 /// 9 ///  /// Medical University Graz, University Hospital of Gynecology, 8036 Graz, Austria /// a10 /// 10 ///  /// Department of Gynecology and Obstetrics, Klinikum Aschaffenburg, 63739 Aschaffenburg, Germany /// a11 /// 11 ///  /// Department of Gynecology, Aachen University Hospital, 52054 Aachen, Germany and Coordinator and chairman of this expert panel. "
"Public Health and Environment, World Health Organization, Geneva, Switzerland",,10.1515/reveh-2012-0033,http://dx.doi.org/10.1515/reveh-2012-0033,Environmental exposures: an underrecognized contribution to noncommunicable diseases,Rosana E. Norman /// David O. Carpenter /// James Scott /// Marie Noel Brune /// Peter D. Sly,2013,Reviews on Environmental Health,"aff1 /// 1 ///  /// Children’s Health and Environment Program, Queensland Children’s Medical Research Institute, The University of Queensland, Herston, Queensland, Australia /// aff2 /// 2 ///  /// Institute for Health and the Environment, University at Albany, Rensselaer, NY, USA /// aff3 /// 3 ///  /// Metro North Mental Health, Royal Brisbane and Women’s Hospital, Herston, Queensland, Australia /// aff4 /// 4 ///  /// The University of Queensland Centre for Clinical Research, Herston, Queensland, Australia /// aff5 /// 5 ///  /// Public Health and Environment, World Health Organization, Geneva, Switzerland /// aff6 /// 6 ///  /// School of Population Health, The University of Queensland, Herston, Queensland, Australia /// aff7 /// a ///  /// An author is a  staff member of the World Health Organization. The authors alone are responsible for the views expressed in this publication and they do not necessarily represent the decisions, policy, or views of the World Health Organization."
"Beckman Coulter Eurocenter, Nyon, Switzerland",,10.1515/CCLM.2007.155,http://dx.doi.org/10.1515/CCLM.2007.155,Proposal of a candidate international conventional reference measurement procedure for free thyroxine in serum,"International Federation of Clinical Chemistry and Laboratory Medicine (IFCC), IFCC Scientific Division: Working Group for Standardization of Thyroid Function Tests (WG-STFT): Linda M. Thienpont /// Graham Beastall /// Nicholas D. Christofides /// James D. Faix /// Tamio Ieiri /// Véronique Jarrige /// W. Greg Miller /// Richard Miller /// Jerald C. Nelson /// Cathérine Ronin /// H. Alec Ross /// Michael Rottmann /// Jos H. Thijssen /// Brigitte Toussaint",2007,Clinical Chemical Laboratory Medicine,"a1 /// 1 ///  /// Laboratory for Analytical Chemistry, Faculty of Pharmaceutical Sciences, Ghent University, Ghent, Belgium /// a2 /// 2 ///  /// Department of Clinical Biochemistry, Royal Infirmary, Glasgow, UK /// a3 /// 3 ///  /// Research and Development, Ortho-Clinical Diagnostics, Cardiff Laboratories, Whitchurch, UK /// a4 /// 4 ///  /// Stanford Medical School, Palo Alto, CA, USA /// a5 /// 5 ///  /// Department of Clinical Laboratory Medicine, Dokkyo University School of Medicine, Japan /// a6 /// 6 ///  /// Beckman Coulter Eurocenter, Nyon, Switzerland /// a7 /// 7 ///  /// Department of Pathology, Virginia Commonwealth University, Richmond, VA, USA /// a8 /// 8 ///  /// Dade Behring Inc., Newark, DE, USA /// a9 /// 9 ///  /// Department of Medicine, Loma Linda University School of Medicine, Loma Linda, CA 92354, USA /// a10 /// 10 ///  /// Laboratoire de Neurobiologie, Centre National de la Recherche Scientifique, Marseille, France /// a11 /// 11 ///  /// Department of Chemical Endocrinology, Radboud University Nijmegen Medical Center, Nijmegen, The Netherlands /// a12 /// 12 ///  /// Roche Diagnostics GmbH, Penzberg, Germany /// a13 /// 13 ///  /// Laboratory of Endocrinology, University Medical Center Utrecht, Utrecht, The Netherlands /// a14 /// 14 ///  /// Institute for Reference Materials and Measurements (IRMM), Joint Research Center, European Commission, Geel, Belgium"
"Beckman Coulter Eurocenter S.A., Nyon, Switzerland",,10.1515/CCLM.2008.126,http://dx.doi.org/10.1515/CCLM.2008.126,Alternative antibody for the detection of CA19-9 antigen: a European multicenter study for the evaluation of the analytical and clinical performance of the Access GI Monitor assay on the UniCel DxI 800 Immunoassay System,Petra Stieber /// Rafael Molina /// Massimo Gion /// Axel Gressner /// Frédéric Troalen /// Stefan Holdenrieder /// Jose Maria Auge /// Matelda Zancan /// Matthias Wycislo /// Véronique Jarrige,2008,Clinical Chemistry and Laboratory Medicine,"a1 /// 1 ///  /// Institut für Klinische Chemie, Klinikum der Universität München, Munich, Germany /// a2 /// 2 ///  /// Laboratory for Clinical Biochemistry and Molecular Genetics, Hospital Clinic, Barcelona, Spain /// a3 /// 3 ///  /// ABO Association, Center for the Study of Biological Markers of Malignancy, Venice, Italy /// a4 /// 4 ///  /// Institut für Klinische Chemie, Universitätsklinikum der RWTH Aachen, Aachen, Germany /// a5 /// 5 ///  /// Département de Biologie Clinique, Institut Gustave Roussy, Villejuif, France /// a6 /// 6 ///  /// Institut für Klinische Chemie, Klinikum der Universität München, Munich, Germany /// a7 /// 7 ///  /// Laboratory for Clinical Biochemistry and Molecular Genetics, Hospital Clinic, Barcelona, Spain /// a8 /// 8 ///  /// ABO Association, Center for the Study of Biological Markers of Malignancy, Venice, Italy /// a9 /// 9 ///  /// Institut für Klinische Chemie, Universitätsklinikum der RWTH Aachen, Aachen, Germany /// a10 /// 10 ///  /// Beckman Coulter Eurocenter S.A., Nyon, Switzerland"
"AO Research Institute Davos, Clavadelerstrasse 8, 7270 Davos, Switzerland",,10.1515/ejnm-2012-0001,http://dx.doi.org/10.1515/ejnm-2012-0001,Gene activated matrices for bone and cartilage regeneration in arthritis,Christian Plank /// David Eglin /// Niamh Fahy /// Cedric Sapet /// Pascal Borget /// Gerjo van Osch /// Chiara Gentili /// Thomas Miramond /// Katharina Zöller /// Martina Anton,2012,European Journal of Nanomedicine,"aff1 /// 1 ///  /// GAMBA Consortium: Institute of Experimental Oncology and Therapy Research, Technische Universität München, Ismaninger Str. 22, 81675 Munich, Germany /// aff2 /// 2 ///  /// AO Research Institute Davos, Clavadelerstrasse 8, 7270 Davos, Switzerland /// aff3 /// 3 ///  /// Regenerative Medicine Institute, National University of Ireland Galway, University Road, Galway, Ireland /// aff4 /// 4 ///  /// OZ Biosciences, Parc Scientifique de Luminy, 163 Avenue de Luminy, Case 922 Zone Entreprise, Marseille 13288 Cedex 9, France /// aff5 /// 5 ///  /// Biomatlante SA, 5 Rue Edouard Belin, 44360 Vigneux de Bretagne, France /// aff6 /// 6 ///  /// Department of Orthopaedics and Otorhinolaryngology, Erasmus MC, University Medical Centre Rotterdam, PO Box 2040, 3000 CA Rotterdam, The Netherlands /// aff7 /// 7 ///  /// Department of Experimental Medicine, University of Genoa, Via L.B. Alberti, 2 16132 Genova, Italy /// aff8 /// 8 ///  /// INSERM Université de Nantes UMR U791 Faculté de Chirurgie Dentaire, Place A. Ricordeau, 44042 Nantes, France /// aff9 /// 9 ///  /// ScienceDialogue Dr. Karin Zöller, Maren Schüpphaus and Sven Siebert GbR, Zoepfstr. 25, 82362 Weilheim, Germany"
"Institute of Anatomy, University of Berne, Baltzerstrasse 2, CH-3000 Bern 9, Switzerland",University of Bern,10.1515/bnm-2013-0011,http://dx.doi.org/10.1515/bnm-2013-0011,The bio-nano-interface in predicting nanoparticle fate and behaviour in living organisms: towards grouping and categorising nanomaterials and ensuring nanosafety by design,Iseult Lynch /// Arti Ahluwalia /// Diana Boraschi /// Hugh J. Byrne /// Bengt Fadeel /// Peter Gehr /// Arno C. Gutleb /// Michaela Kendall /// Manthos G. Papadopoulos,2013,BioNanoMaterials,"aff1 /// 1 ///  /// Department of Geography, Earth and Environmental Sciences, University of Birmingham, Edgbaston, Birmingham, B15 2TT, UK /// aff2 /// 2 ///  /// Research Center “E. Piaggio”, Faculty of Engineering, University of Pisa, via Diotisalvi 2, 56126 Pisa, Italy /// aff3 /// 3 ///  /// Institute of Protein Biochemistry, National Research Council, Via Pietro Castellino 111, 80131 Napoli, Italy /// aff4 /// 4 ///  /// Focas Research Institute, Dublin Institute of Technology, Camden Row, Dublin 8, Ireland /// aff5 /// 5 ///  /// Institute of Environmental Medicine, Karolinska Institutet, Nobels väg 13, S-171 77 Stockholm, Sweden /// aff6 /// 6 ///  /// Institute of Anatomy, University of Berne, Baltzerstrasse 2, CH-3000 Bern 9, Switzerland /// aff7 /// 7 ///  /// Department of Environment and Agro-biotechnologies, Centre de Recherche Public – Gabriel Lippmann, 41, rue du Brill, L-4422 Belvaux, Luxembourg /// aff8 /// 8 ///  /// School of Chemical Engineering, University of Birmingham, Edgbaston, Birmingham, B15 2TT, UK /// aff9 /// 9 ///  /// National Hellenic Research Foundation, 116-35 Athens, Greece"
"Department of Obstetrics and Gynecology, University Hospital of Aachen, Germany and Department of Obstetrics and Gynecology, University Hospital of Zurich, Switzerland",University of Zurich,10.1515/JPM.2007.012,http://dx.doi.org/10.1515/JPM.2007.012,Neither maternal nor fetal mutation (E474Q) in the α-subunit of the trifunctional protein is frequent in pregnancies complicated by HELLP syndrome,Sabine Mütze /// Ines Ahillen /// Sabine Rudnik-Schoeneborn /// Thomas Eggermann /// Brigitte Leeners /// Peruka M. Neumaier-Wagner /// Sabine Kuse /// Werner Rath /// Klaus Zerres,2007,Journal of Perinatal Medicine,"a1 /// 1.  ///  /// Institute of Human Genetics, University Hospital of Aachen, Germany and Department of Obstetrics and Gynecology, University Hospital of Aachen, Germany /// a2 /// 2.  ///  /// Institute of Human Genetics, University Hospital of Aachen, Germany /// a3 /// 3.  ///  /// Institute of Human Genetics, University Hospital of Aachen, Germany /// a4 /// 4.  ///  /// Institute of Human Genetics, University Hospital of Aachen, Germany /// a5 /// 5.  ///  /// Department of Obstetrics and Gynecology, University Hospital of Aachen, Germany and Department of Obstetrics and Gynecology, University Hospital of Zurich, Switzerland /// a6 /// 6.  ///  /// Department of Obstetrics and Gynecology, Institute of Human Genetics, Universíty Hospital of Aachen, Germany /// a7 /// 7.  ///  /// German Preeclampsia Society, Issum, Germany /// a8 /// 8.  ///  /// Department of Obstetrics and Gynecology, University Hospital of Aachen, Germany /// a9 /// 9.  ///  /// Institute of Human Genetics, University Hospital of Aachen, Germany"
"Swiss Federal Nuclear Safety Inspectorate, CH-5232 Villigen-HSK, Switzerland",,10.1351/pac200779050883,http://dx.doi.org/10.1351/pac200779050883,Quality assurance in thermodynamic databases for performance assessment studies in waste disposal,W. Voigt /// V. Brendler /// K. Marsh /// R. Rarey /// H. Wanner /// M. Gaune-Escard /// P. Cloke /// Th. Vercouter /// E. Bastrakov /// S. Hagemann,2007,Pure and Applied Chemistry,"aff1 /// 1 ///  /// TU Bergakademie Freiberg, Institut für Anorganische Chemie, LeipzigerStrasse 29, D-09596 Freiberg, Germany /// aff2 /// 2 ///  /// Institute für Radiochemie,FZ Dresden-Rossendorf, Postfach 51 01 19, D-01314 Dresden, Germany /// aff3 /// 3 ///  /// Department of Chemical and Process Engineering, University of Canterbury, Private Bag 4800, Christchurch, New Zealand /// aff4 /// 4 ///  /// Universität Oldenburg,Postfach 2503, D-26111 Oldenburg, Germany /// aff5 /// 5 ///  /// Swiss Federal Nuclear Safety Inspectorate, CH-5232 Villigen-HSK, Switzerland /// aff6 /// 6 ///  /// I.U.S.T.I., TechnopoleChateau-Gombert, 5 rue Enrico Fermi, 13453 Marseille cédex 13, France /// aff7 /// 7 ///  /// 1713 States Street, Prescott, AZ 86301-5541, USA /// aff8 /// 8 ///  /// CEA Saclay DEN/DPC/SECR/LSRM, bât. 391, F-91191 Gif-sur-Yvette, France /// aff9 /// 9 ///  /// Geoscience Australia, GPO Box 378, Canberra, ACT, 2601, Australia /// aff10 /// 10 ///  /// Gesellschaft für Anlagen- und Reaktorsicherheit (GRS) mbH Theodor-Heuss-Strasse 4, 38122 Braunschweig, Germany"
"Laboratory of Inorganic Chemistry, Swiss Federal Institute of Technology, ETH, Wolfgang Pauli Strasse 10, CH 8093 Zürich, Switzerland",ETH Zurich,10.1351/pac200577081445,http://dx.doi.org/10.1351/pac200577081445,Critical evaluation of stability constants of metal complexes of complexones for biomedical and environmental applications* (IUPAC Technical Report),Giorgio Anderegg /// Francoise Arnaud-Neu /// Rita Delgado /// Judith Felcman /// Konstantin Popov,2005,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Laboratory of Inorganic Chemistry, Swiss Federal Institute of Technology, ETH, Wolfgang Pauli Strasse 10, CH 8093 Zürich, Switzerland /// aff2 /// 2 ///  /// Laboratoire de Chimie-Physique, UMR 7512 (CNRS-ULP), ECPM, 25, rue Becquerel, 67087 Strasbourg Cédex 02, France /// aff3 /// 3 ///  /// Instituto de Tecnologia Química e Biológica (ITQB), Apartado 127, 2781-901 Oeiras, Portugal and Instituto Superior Técnico, Av. Rovisco Pais, 1049-001 Lisboa, Portugal /// aff4 /// 4 ///  /// Pontificia Universidade Católica do Rio de Janeiro, Rua Marques de São Vicente 225-Gávea, 22453-900 Rio de Janeiro-RJ, Brazil /// aff5 /// 5 ///  /// Institute of Reagents and High Purity Substances (IREA), Bogorodsky val-3, 107258, Moscow, Russia and Moscow State University of Food Production, Volokolamskoye Sh. 11, 125080 Moscow, Russia"
"Clinical Research and Exploratory Development, F. Hoffmann- La Roche Pharma, Basel, Switzerland",,10.1515/jlm.2010.001,http://dx.doi.org/10.1515/jlm.2010.001,Konsensusprotokoll zur Standardisierung von Entnahme und Biobanking des Liquor cerebrospinalis / A consensus protocol for the standardisation of cerebrospinal fluid collection and biobanking,Charlotte E. Teunissen /// Axel Petzold /// Jeffrey L. Bennett /// Frode S. Berven /// Lou Brundin /// Manuel Comabella /// Diego Franciotta /// Jette L. Federiksen /// John O. Fleming /// Roberto Furlan /// Rogier Q. Hintzen /// Steve G. Hughes /// Michael H. Johnson /// Eva Krasulova /// Jens Kuhle /// Maria-Chiara Magnone /// Cecilia Rajda /// Konrad Rejdak /// Holly K. Schmidt /// Vincent van Pesch /// Emmanuelle Waubant /// Christian Wolf /// Gavin Giovannoni /// Florian Deisenhammer /// Harald Hegen /// Bernhard Hemmer /// Hayrettin T. Tumani,2010,LaboratoriumsMedizin,"aff1 /// 1 ///  /// Department of Molecular Cell Biology and Immunology, VU University Medical Center, Amsterdam, The Netherlands /// aff2 /// 2 ///  /// Department of Neuroimmunology, Institute of Neurology, UCL, London, UK /// aff3 /// 3 ///  /// Departments of Neurology and Ophthalmology, University of Colorado Denver, Denver, CO, USA /// aff4 /// 4 ///  /// Institute of Medicine, University of Bergen, Bergen, Norway /// aff5 /// 5 ///  /// Division of Neurology, Department of Clinical Neuroscience, Karolinska University Hospital, Stockholm, Sweden /// aff6 /// 6 ///  /// Neurology, Centre d'Esclerosi Múltiple de Catalunya, CEM-Cat, Unitat de Neuroimmunologia Clínica, Hospital Universitari Vall d'Hebron, Barcelona, Spain /// aff7 /// 7 ///  /// Laboratory of Neuroimmunology, IRCCS, “C. Mondino Neurological Institute”, Pavia, Italy /// aff8 /// 8 ///  /// Department of Neurology, Glostrup Hospital, University of Copenhagen, Glostrup, Denmark /// aff9 /// 9 ///  /// Department of Neurology, University of Wisconsin, Madison, WI, USA /// aff10 /// 10 ///  /// Neuroimmunology Unit, Institute of Experimental Neurology, San Raffaele Scientific Institute, Milan, Italy /// aff11 /// 11 ///  /// Department of Neurology, Erasmus MC, Rotterdam, The Netherlands /// aff12 /// 12 ///  /// Medical Research, Biogen Idec, Maidenhead, UK /// aff13 /// 13 ///  /// Deparment of Neurology, Leeds Teaching Hospitals NHS Trust, Leeds, UK /// aff14 /// 14 ///  /// Deparment of Neurology, Charles University in Prague, First Faculty of Medicine, Prague, Czech Republic /// aff15 /// 15 ///  /// Departments of Neurology and Clinical Neuroimmunology, University Hospital, University of Basel, Basel, Switzerland /// aff16 /// 16 ///  /// Clinical Research and Exploratory Development, F. Hoffmann- La Roche Pharma, Basel, Switzerland /// aff17 /// 17 ///  /// Department of Neurology, University of Szeged, Szeged, Hungary /// aff18 /// 18 ///  /// Department of Neurology, Medical University of Lublin, Lublin, Poland/Experimental Pharmacology, Medical Research Center, Warsaw, Poland /// aff19 /// 19 ///  /// Accelerated Cure Project for Multiple Sclerosis, Waltham, MA, USA /// aff20 /// 20 ///  /// Department of Neurology, UCL, Université Catholique de Louvain, Brussels, Belgium /// aff21 /// 21 ///  /// Department of Neurology, University of California San Francisco, San Francisco, CA, USA /// aff22 /// 22 ///  /// Department of Clinical Development, UCB Pharma S.A., Braine l'Alleud, Belgium /// aff23 /// 23 ///  /// Neuroimmunology Unit, Neuroscience Centre, Institute of Cell and Molecular Science Barts and The London Queen Mary's School of Medicine and Dentistry London, London, UK /// aff24 /// 24 ///  /// Department of Clinical Neurology, Innsbruck Medical University, Innsbruck, Austria /// aff25 /// 25 ///  /// Department of Neurology, Klinikum rechts der Isar, Technische Universität, Munich, Germany /// aff26 /// 26 ///  /// Department of Neurology, University Hospital of Ulm, Ulm, Germany"
"World Health Organization, TDR, Special Programme for                     Research and Training for Neglected Disease, 20 Avenue Appia, 1211 Geneva,                     Switzerland",,10.1351/PAC-REC-09-05-03,http://dx.doi.org/10.1351/PAC-REC-09-05-03,Glossary of terms used in biomolecular screening (IUPAC                     Recommendations 2011),John Proudfoot /// Olivier Nosjean /// Jan Blanchard /// John Wang /// Dominique Besson /// Denis Crankshaw /// Günter Gauglitz /// Robert Hertzberg /// Carol Homon /// Lyndon Llewellyn /// Richard Neubig /// Larry Walker /// Pascal Villa,2011,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Boehringer Ingelheim Pharmaceuticals, Inc., 900 Ridgebury                     Road, Ridgefield, CT 06877, USA /// aff2 /// 2 ///  /// Servier Research Institute, 125 Chemin de Ronde, 78290                     Croissy-sur-Seine, France /// aff3 /// 3 ///  /// McMaster HTS Laboratory, Department of Biochemistry and                     Biomedical Sciences, McMaster University, HSC 4N45-D, 1200 Main St. West,                     Hamilton, ON L8N 3Z5, Canada /// aff4 /// 4 ///  /// AJLW Consulting, Inc., 649 Via Rialto, Oakland, CA 94619,                     USA /// aff5 /// 5 ///  /// World Health Organization, TDR, Special Programme for                     Research and Training for Neglected Disease, 20 Avenue Appia, 1211 Geneva,                     Switzerland /// aff6 /// 6 ///  /// Department of Obstetrics and Gynecology, McMaster                     University, HSC 3N52, 1200 Main St. West, Hamilton, ON L8N 3Z5, Canada /// aff7 /// 7 ///  /// Institut für Physikalische und Theoretische Chemie,                     Universität Tübingen, Auf der Morgenstelle 8, D-72076 Tübingen, Germany /// aff8 /// 8 ///  /// GlaxoSmithKline Pharmaceuticals, 709 Swedeland Road, King                     of Prussia, PA 19406, USA /// aff9 /// 9 ///  /// Boehringer Ingelheim Pharmaceuticals, Inc.                     (retired) /// aff10 /// 10 ///  /// Australian Institute of Marine Science, PMB 3,                     Townsville 4810, Australia /// aff11 /// 11 ///  /// Department of Pharmacology, University of Michigan, Ann                     Arbor, MI 48109-1055, USA /// aff12 /// 12 ///  /// National Center for Natural Products Research, The                     University of Mississippi, P.O. Box 1848, University, MS 38677, USA /// aff13 /// 13 ///  /// IFR 85 “Biomolécules et Innovations Thérapeutiques” 74                     Route du Rhin BP 60024, 67401 Illkirch, France "
"Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik, Ludwig-Maximilians-Universität München, Nußbaumstr. 20, D-80336 München, Germany, Adolf-Butenandt-Institut, Ludwig-Maximilians-Universität München, Schillerstr. 42, D-80336 München, Germany and Present address: Protease Platform, Novartis Institutes for BioMedical Research, CH-4002 Basel, Switzerland.",University of Basel,10.1515/BC.2006.079,http://dx.doi.org/10.1515/BC.2006.079,μ-Calpain binds to lipid bilayers via the exposed hydrophobic surface of its Ca-activated conformation,Amaury Fernández-Montalván /// Irmgard Assfalg-Machleidt /// Dietmar Pfeiler /// Hans Fritz /// Marianne Jochum /// Werner Machleidt,2006,Biological Chemistry,"a1 /// 1.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik, Ludwig-Maximilians-Universität München, Nußbaumstr. 20, D-80336 München, Germany, Adolf-Butenandt-Institut, Ludwig-Maximilians-Universität München, Schillerstr. 42, D-80336 München, Germany and Present address: Protease Platform, Novartis Institutes for BioMedical Research, CH-4002 Basel, Switzerland. /// a2 /// 2.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik, Ludwig-Maximilians-Universität München, Nußbaumstr. 20, D-80336 München, Germany and Adolf-Butenandt-Institut, Ludwig-Maximilians-Universität München, Schillerstr. 42, D-80336 München, Germany /// a3 /// 3.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik, Ludwig-Maximilians-Universität München, Nußbaumstr. 20, D-80336 München, Germany and Adolf-Butenandt-Institut, Ludwig-Maximilians-Universität München, Schillerstr. 42, D-80336 München, Germany /// a4 /// 4.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik, Ludwig-Maximilians-Universität München, Nußbaumstr. 20, D-80336 München, Germany /// a5 /// 5.  ///  /// Abteilung für Klinische Chemie und Klinische Biochemie, Chirurgische Klinik, Ludwig-Maximilians-Universität München, Nußbaumstr. 20, D-80336 München, Germany /// a6 /// 6.  ///  /// Adolf-Butenandt-Institut, Ludwig-Maximilians-Universität München, Schillerstr. 42, D-80336 München, Germany"
